participant,experiment,target,task_type,n_features,n_samples,accuracy_mean,accuracy_std,r2_mean,r2_std
e1,nose_cheeks,session_type,classification,18,1099,0.3421380463860475,0.019122853338549864,,
e1,nose_cheeks,stress_level,regression,18,1099,,,-3.1928110452581837,2.640289025263437
e1,nose_cheeks,attention,regression,18,1099,,,-2.1661336934896607,2.1076265953031226
e1,nose_cheeks,robot_predictability,regression,18,1099,,,-0.5864443628042969,0.44465219374351883
e1,nose_cheeks,excitement,regression,18,1099,,,-4.397579771919967,4.28289452504812
e1,nose_cheeks,mental_demand,regression,18,1099,,,-6.060548730003176,4.259829609481598
e1,nose_cheeks,rushed_pace,regression,18,1099,,,-5.9868945191953555,4.098639223082314
e1,nose_cheeks,work_effort,regression,18,1099,,,-2.1439876841084367,1.7791258626594808
e1,nose_cheeks,stress_annoyance,regression,18,1099,,,-6.507489403949994,7.118990797074965
e1,nose_cheeks,success_level,regression,18,1099,,,-0.0205432270354254,0.025622117215928556
e1,all_expression,session_type,classification,597,1099,0.36398852508648377,0.021995280107652736,,
e1,all_expression,stress_level,regression,597,1099,,,-3.3119599083819633,2.7038327334061147
e1,all_expression,attention,regression,597,1099,,,-2.197541048479718,2.1626334136607896
e1,all_expression,robot_predictability,regression,597,1099,,,-0.5246625583714438,0.43351699924766257
e1,all_expression,excitement,regression,597,1099,,,-4.549668684049608,4.236462344559308
e1,all_expression,mental_demand,regression,597,1099,,,-6.6196105823198685,4.480364880485391
e1,all_expression,rushed_pace,regression,597,1099,,,-6.461828373500862,4.211633421947977
e1,all_expression,work_effort,regression,597,1099,,,-2.269006191883399,1.9423741687679767
e1,all_expression,stress_annoyance,regression,597,1099,,,-6.768592017663025,7.389283862506551
e1,all_expression,success_level,regression,597,1099,,,-0.025142865121230096,0.05142002983855897
e1,mouth_only,session_type,classification,123,1099,0.3021048922241579,0.030482874545504062,,
e1,mouth_only,stress_level,regression,123,1099,,,-3.313154256036079,2.616829075324601
e1,mouth_only,attention,regression,123,1099,,,-2.311815295369241,2.1905889508200254
e1,mouth_only,robot_predictability,regression,123,1099,,,-0.5871194174161654,0.46315543310226487
e1,mouth_only,excitement,regression,123,1099,,,-4.491101349921595,4.243603040064474
e1,mouth_only,mental_demand,regression,123,1099,,,-6.39749792064164,4.294473088615975
e1,mouth_only,rushed_pace,regression,123,1099,,,-6.024124457197089,4.028742549897527
e1,mouth_only,work_effort,regression,123,1099,,,-2.2678830778572303,1.92900319203376
e1,mouth_only,stress_annoyance,regression,123,1099,,,-6.128276790115962,6.430927252777486
e1,mouth_only,success_level,regression,123,1099,,,-0.07641318146920129,0.06781558745000073
e1,eyes_only,session_type,classification,372,1099,0.30663629189559416,0.005246309115138402,,
e1,eyes_only,stress_level,regression,372,1099,,,-3.7205321481499105,2.8445220244565097
e1,eyes_only,attention,regression,372,1099,,,-2.621066398591692,2.4367811885209965
e1,eyes_only,robot_predictability,regression,372,1099,,,-0.5351254334246027,0.42835942231280366
e1,eyes_only,excitement,regression,372,1099,,,-4.629710035880588,4.300881510362402
e1,eyes_only,mental_demand,regression,372,1099,,,-6.6249921716769355,4.579049294877697
e1,eyes_only,rushed_pace,regression,372,1099,,,-6.626104672404666,4.5278252062667015
e1,eyes_only,work_effort,regression,372,1099,,,-2.335399126035052,2.0060121418808743
e1,eyes_only,stress_annoyance,regression,372,1099,,,-6.4750017244963916,6.9093103638196744
e1,eyes_only,success_level,regression,372,1099,,,-0.06087023125441767,0.07988715610420569
e17,nose_cheeks,session_type,classification,18,205,0.7461636828644501,0.05986375908309682,,
e17,nose_cheeks,stress_level,regression,18,205,,,0.062467866708981634,0.08834290431235658
e17,nose_cheeks,robot_predictability,regression,18,205,,,0.06598845610088133,0.09332176957792798
e17,nose_cheeks,excitement,regression,18,205,,,0.06598839962557446,0.09332168970978305
e17,nose_cheeks,rushed_pace,regression,18,205,,,0.062467876897459584,0.08834291872104028
e17,nose_cheeks,work_effort,regression,18,205,,,0.062467830806320124,0.08834285353832576
e17,all_expression,session_type,classification,597,205,0.741332764990054,0.0354931686182001,,
e17,all_expression,stress_level,regression,597,205,,,-0.00926355756906642,0.013100648749997671
e17,all_expression,robot_predictability,regression,597,205,,,-0.015670085827406366,0.022160847900668506
e17,all_expression,excitement,regression,597,205,,,-0.015670141850004482,0.02216092712858656
e17,all_expression,rushed_pace,regression,597,205,,,-0.009263525951722196,0.01310060403632066
e17,all_expression,work_effort,regression,597,205,,,-0.009263557077420437,0.013100648054705252
e17,mouth_only,session_type,classification,123,205,0.6438618925831202,0.04243456701312625,,
e17,mouth_only,stress_level,regression,123,205,,,-0.04595422781809644,0.06498909222873495
e17,mouth_only,robot_predictability,regression,123,205,,,-0.045801782318778926,0.06477350173607738
