experiment,target,task_type,n_participants,n_features,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_r2,std_r2,min_r2,max_r2
nose_cheeks,session_type,classification,12,18,,,,,,,,
nose_cheeks,stress_level,regression,10,18,,,,,-1.3091700333193719,1.4540301265487758,-4.760763428692619,0.062467866708981634
nose_cheeks,attention,regression,10,18,,,,,-2.1582774876994852,3.192172536230176,-11.386614964954461,-0.19130434782608696
nose_cheeks,robot_predictability,regression,11,18,,,,,-1.150727815008037,1.1985273891012136,-3.5996853680870053,0.06598845610088133
nose_cheeks,excitement,regression,11,18,,,,,-1.3735651962714401,1.4165841343432097,-4.397579771919967,0.06598839962557446
nose_cheeks,mental_demand,regression,11,18,,,,,-11.151924024846602,14.257128814057523,-41.16011352986943,-0.1826241134751773
nose_cheeks,rushed_pace,regression,12,18,,,,,-8.937973661868332,13.099628663194924,-47.37349922671704,0.062467876897459584
nose_cheeks,work_effort,regression,12,18,,,,,-3.0078410132987465,3.0200008420548934,-11.175614742278292,0.062467830806320124
nose_cheeks,stress_annoyance,regression,9,18,,,,,-16.28971251848915,13.416418979162385,-35.05200521376522,-0.6328576008895209
nose_cheeks,success_level,regression,8,18,,,,,-0.4224255060326723,0.4456405413386468,-1.510506008416649,-0.0205432270354254
all_expression,session_type,classification,12,597,,,,,,,,
all_expression,stress_level,regression,10,597,,,,,-1.2799313844061158,1.4454317692073706,-4.582898633747914,-0.00926355756906642
all_expression,attention,regression,10,597,,,,,-2.0691214090106724,3.0164920589610955,-10.782934488199244,-0.19130434782608696
all_expression,robot_predictability,regression,11,597,,,,,-1.1496080242943019,1.1740456705250168,-3.4918342029445424,-0.015670085827406366
all_expression,excitement,regression,11,597,,,,,-1.3625977568017167,1.386123197709163,-4.549668684049608,-0.005324813631522855
all_expression,mental_demand,regression,11,597,,,,,-10.803339572207536,13.779956531154243,-40.72394093393521,-0.1826241134751773
all_expression,rushed_pace,regression,12,597,,,,,-8.865571341319438,13.562605819939435,-49.86698914465177,-0.009263525951722196
all_expression,work_effort,regression,12,597,,,,,-2.8971659131572642,2.950986587198582,-10.996051763965964,-0.009263557077420437
all_expression,stress_annoyance,regression,9,597,,,,,-17.2253779820385,14.611752264382448,-41.66620162365053,-0.5172368637929351
all_expression,success_level,regression,8,597,,,,,-0.381557386076159,0.3722405492406746,-1.2688633115596992,-0.025142865121230096
mouth_only,session_type,classification,12,123,,,,,,,,
mouth_only,stress_level,regression,10,123,,,,,-1.28494940523851,1.3857616036698843,-4.391037442042404,-0.04595422781809644
mouth_only,attention,regression,10,123,,,,,-2.1274282409840444,3.088373448876479,-11.017397818736425,-0.19130434782608696
mouth_only,robot_predictability,regression,11,123,,,,,-1.2031124752764433,1.2176036705968736,-3.687559817102238,-0.045801782318778926
mouth_only,excitement,regression,11,123,,,,,-1.331183869221372,1.3573964491911072,-4.491101349921595,-0.005324813631522855
mouth_only,mental_demand,regression,11,123,,,,,-11.534254141855895,15.110595876955363,-43.06361186282832,-0.1826241134751773
mouth_only,rushed_pace,regression,12,123,,,,,-9.314252484855473,14.098203682840342,-51.09512503315606,-0.045954233921478606
mouth_only,work_effort,regression,12,123,,,,,-2.9264218592741744,2.736277082198231,-10.185461460185623,-0.045954210885364256
mouth_only,stress_annoyance,regression,9,123,,,,,-16.029025493925097,13.795556859933104,-39.40350500536808,-0.6322522859197507
mouth_only,success_level,regression,8,123,,,,,-0.3951397032724937,0.3296855832381015,-1.1577079376125747,-0.07641318146920129
eyes_only,session_type,classification,12,372,,,,,,,,
eyes_only,stress_level,regression,10,372,,,,,-1.2946752022312311,1.452581386655497,-4.366275472091538,-0.05197234113292907
eyes_only,attention,regression,10,372,,,,,-2.1116043009541254,2.956074517684513,-10.57094772970387,-0.19130434782608696
eyes_only,robot_predictability,regression,11,372,,,,,-1.201834958672883,1.2271650044093927,-3.6802299955723257,-0.025859631878712763
eyes_only,excitement,regression,11,372,,,,,-1.3970465347628769,1.4392496346547456,-4.629710035880588,-0.005324813631522855
eyes_only,mental_demand,regression,11,372,,,,,-11.439365859959137,14.897412919232426,-42.0419659563172,-0.1826241134751773
eyes_only,rushed_pace,regression,12,372,,,,,-9.34511328831366,14.286024000980502,-52.2597445934631,-0.05197235395502764
eyes_only,work_effort,regression,12,372,,,,,-2.9050082971935054,2.80310090312148,-10.659469646773914,-0.05197235310589828
eyes_only,stress_annoyance,regression,9,372,,,,,-16.7195538346937,14.415789562551435,-41.46814506414161,-0.5101209347521717
eyes_only,success_level,regression,8,372,,,,,-0.3849903160134138,0.3291827399416394,-1.150044630062232,-0.06087023125441767
